OBJECTID,AGS,Gemeinde,Berichtszeitpunkt,Gemeindeschlüssel,Stadttyp,Pkw Elektro Anteil
800,1002000,Kiel,2023.01,1002000,Landeshauptstadt,3.7
801,1003000,Lübeck,2023.01,1003000,Großstadt,3.4
1105,2000000,Hamburg,2023.01,2000000,Landeshauptstadt,5.5
1106,3101000,Braunschweig,2023.01,3101000,Großstadt,7.1
1107,3102000,Salzgitter,2023.01,3102000,Großstadt,2.2
1108,3103000,Wolfsburg,2023.01,3103000,Großstadt,7.9
1403,3403000,Oldenburg (Oldb),2023.01,3403000,Großstadt,4.9
1404,3404000,Osnabrück,2023.01,3404000,Großstadt,4.8
1646,3159016,Göttingen,2023.01,3159016,Großstadt,4.2
1670,3241001,Hannover,2023.01,3241001,Landeshauptstadt,4.4
1753,3254021,Hildesheim,2023.01,3254021,Großstadt,3.6
1788,5378004,Bergisch Gladbach,2023.01,5378004,Großstadt,4.2
1815,5512000,Bottrop,2023.01,5512000,Großstadt,3.1
1816,5513000,Gelsenkirchen,2023.01,5513000,Großstadt,2.8
1817,5515000,Münster,2023.01,5515000,Großstadt,5.2
1854,5562032,Recklinghausen,2023.01,5562032,Großstadt,2.8
1893,5711000,Bielefeld,2023.01,5711000,Großstadt,4.8
1895,5754008,Gütersloh,2023.01,5754008,Großstadt,4.6
1960,5774032,Paderborn,2023.01,5774032,Großstadt,5.0
1963,5911000,Bochum,2023.01,5911000,Großstadt,4.6
1964,5913000,Dortmund,2023.01,5913000,Großstadt,4.0
1965,5914000,Hagen,2023.01,5914000,Großstadt,3.3
1966,5915000,Hamm,2023.01,5915000,Großstadt,3.2
1967,5916000,Herne,2023.01,5916000,Großstadt,2.6
2220,5970040,Siegen,2023.01,5970040,Großstadt,4.8
2246,6411000,Darmstadt,2023.01,6411000,Großstadt,5.3
2247,6412000,Frankfurt am Main,2023.01,6412000,Großstadt,8.6
2248,6413000,Offenbach am Main,2023.01,6413000,Großstadt,4.5
2249,6414000,Wiesbaden,2023.01,6414000,Landeshauptstadt,14.7
2335,6435014,Hanau,2023.01,6435014,Großstadt,3.6
2448,4011000,Bremen,2023.01,4011000,Landeshauptstadt,3.7
2449,4012000,Bremerhaven,2023.01,4012000,Großstadt,2.8
2450,5111000,Düsseldorf,2023.01,5111000,Landeshauptstadt,6.5
2451,5112000,Duisburg,2023.01,5112000,Großstadt,2.6
2452,5113000,Essen,2023.01,5113000,Großstadt,4.3
2453,5114000,Krefeld,2023.01,5114000,Großstadt,3.5
2454,5116000,Mönchengladbach,2023.01,5116000,Großstadt,3.8
2455,5117000,Mülheim an der Ruhr,2023.01,5117000,Großstadt,4.0
2456,5119000,Oberhausen,2023.01,5119000,Großstadt,3.2
2457,5120000,Remscheid,2023.01,5120000,Großstadt,3.9
2458,5122000,Solingen,2023.01,5122000,Großstadt,4.7
2459,5124000,Wuppertal,2023.01,5124000,Großstadt,3.9
2492,5162024,Neuss,2023.01,5162024,Großstadt,4.4
2508,5170024,Moers,2023.01,5170024,Großstadt,4.0
2516,5314000,Bonn,2023.01,5314000,Großstadt,4.7
2517,5315000,Köln,2023.01,5315000,Großstadt,5.0
2518,5316000,Leverkusen,2023.01,5316000,Großstadt,4.5
2519,5334002,Aachen,2023.01,5334002,Großstadt,5.7
2931,6611000,Kassel,2023.01,6611000,Großstadt,4.6
3667,7111000,Koblenz,2023.01,7111000,Großstadt,4.8
4776,7211000,Trier,2023.01,7211000,Großstadt,5.7
4966,8111000,Stuttgart,2023.01,8111000,Landeshauptstadt,8.8
5132,7312000,Kaiserslautern,2023.01,7312000,Großstadt,4.3
5134,7314000,Ludwigshafen am Rhein,2023.01,7314000,Großstadt,3.8
5135,7315000,Mainz,2023.01,7315000,Landeshauptstadt,4.2
5310,8212000,Karlsruhe,2023.01,8212000,Großstadt,5.4
5366,8221000,Heidelberg,2023.01,8221000,Großstadt,4.6
5367,8222000,Mannheim,2023.01,8222000,Großstadt,4.5
5426,8415061,Reutlingen,2023.01,8415061,Großstadt,4.6
5479,8421000,Ulm,2023.01,8421000,Großstadt,4.8
5745,8121000,Heilbronn,2023.01,8121000,Großstadt,4.1
5849,8231000,Pforzheim,2023.01,8231000,Großstadt,4.3
5919,8311000,Freiburg im Breisgau,2023.01,8311000,Großstadt,4.4
6067,9161000,Ingolstadt,2023.01,9161000,Großstadt,6.1
6068,9162000,München,2023.01,9162000,Landeshauptstadt,7.7
6626,9362000,Regensburg,2023.01,9362000,Großstadt,5.2
7477,9663000,Würzburg,2023.01,9663000,Großstadt,4.8
7779,12054000,Potsdam,2023.01,12054000,Landeshauptstadt,3.7
7983,9761000,Augsburg,2023.01,9761000,Großstadt,3.8
8323,10041100,Saarbrücken,2023.01,10041100,Landeshauptstadt,4.0
8375,11000000,Berlin,2023.01,11000000,Landeshauptstadt,4.1
8466,9562000,Erlangen,2023.01,9562000,Großstadt,4.4
8467,9563000,Fürth,2023.01,9563000,Großstadt,3.6
8468,9564000,Nürnberg,2023.01,9564000,Großstadt,3.9
8789,13003000,Rostock,2023.01,13003000,Großstadt,2.4
8790,13004000,Schwerin,2023.01,13004000,Landeshauptstadt,2.4
9295,14612000,Dresden,2023.01,14612000,Landeshauptstadt,2.9
9670,14713000,Leipzig,2023.01,14713000,Großstadt,3.2
9732,15002000,Halle (Saale),2023.01,15002000,Großstadt,2.4
9733,15003000,Magdeburg,2023.01,15003000,Landeshauptstadt,2.7
9913,14511000,Chemnitz,2023.01,14511000,Großstadt,2.9
10529,16051000,Erfurt,2023.01,16051000,Landeshauptstadt,3.2
10531,16053000,Jena,2023.01,16053000,Großstadt,3.1
10749,1002000,Kiel,2023.04,1002000,Landeshauptstadt,3.9
10750,1003000,Lübeck,2023.04,1003000,Großstadt,3.6
11593,3159016,Göttingen,2023.04,3159016,Großstadt,4.3
11617,3241001,Hannover,2023.04,3241001,Landeshauptstadt,4.6
11700,3254021,Hildesheim,2023.04,3254021,Großstadt,3.7
12395,4011000,Bremen,2023.04,4011000,Landeshauptstadt,3.9
12396,4012000,Bremerhaven,2023.04,4012000,Großstadt,2.9
12397,5111000,Düsseldorf,2023.04,5111000,Landeshauptstadt,6.8
12398,5112000,Duisburg,2023.04,5112000,Großstadt,2.7
12399,5113000,Essen,2023.04,5113000,Großstadt,4.5
12400,5114000,Krefeld,2023.04,5114000,Großstadt,3.7
12401,5116000,Mönchengladbach,2023.04,5116000,Großstadt,4.0
12402,5117000,Mülheim an der Ruhr,2023.04,5117000,Großstadt,4.1
12403,5119000,Oberhausen,2023.04,5119000,Großstadt,3.3
12404,5120000,Remscheid,2023.04,5120000,Großstadt,4.0
12405,5122000,Solingen,2023.04,5122000,Großstadt,5.0
12406,5124000,Wuppertal,2023.04,5124000,Großstadt,4.1
12439,5162024,Neuss,2023.04,5162024,Großstadt,4.5
12455,5170024,Moers,2023.04,5170024,Großstadt,4.1
12463,5314000,Bonn,2023.04,5314000,Großstadt,5.0
12464,5315000,Köln,2023.04,5315000,Großstadt,5.4
12465,5316000,Leverkusen,2023.04,5316000,Großstadt,4.6
12466,5334002,Aachen,2023.04,5334002,Großstadt,5.8
12550,3403000,Oldenburg (Oldb),2023.04,3403000,Großstadt,5.1
12551,3404000,Osnabrück,2023.04,3404000,Großstadt,5.0
12852,2000000,Hamburg,2023.04,2000000,Landeshauptstadt,5.6
12853,3101000,Braunschweig,2023.04,3101000,Großstadt,6.9
12854,3102000,Salzgitter,2023.04,3102000,Großstadt,2.3
12855,3103000,Wolfsburg,2023.04,3103000,Großstadt,7.6
12935,5378004,Bergisch Gladbach,2023.04,5378004,Großstadt,4.3
12962,5512000,Bottrop,2023.04,5512000,Großstadt,3.2
12963,5513000,Gelsenkirchen,2023.04,5513000,Großstadt,2.9
12964,5515000,Münster,2023.04,5515000,Großstadt,5.4
13001,5562032,Recklinghausen,2023.04,5562032,Großstadt,2.9
13040,5711000,Bielefeld,2023.04,5711000,Großstadt,5.0
13042,5754008,Gütersloh,2023.04,5754008,Großstadt,4.7
13107,5774032,Paderborn,2023.04,5774032,Großstadt,5.2
13110,5911000,Bochum,2023.04,5911000,Großstadt,4.6
13111,5913000,Dortmund,2023.04,5913000,Großstadt,4.2
13112,5914000,Hagen,2023.04,5914000,Großstadt,3.3
13113,5915000,Hamm,2023.04,5915000,Großstadt,3.3
13114,5916000,Herne,2023.04,5916000,Großstadt,2.7
13167,5970040,Siegen,2023.04,5970040,Großstadt,4.9
13193,6411000,Darmstadt,2023.04,6411000,Großstadt,5.5
13194,6412000,Frankfurt am Main,2023.04,6412000,Großstadt,8.7
13195,6413000,Offenbach am Main,2023.04,6413000,Großstadt,4.7
13196,6414000,Wiesbaden,2023.04,6414000,Landeshauptstadt,15.3
13282,6435014,Hanau,2023.04,6435014,Großstadt,3.7
13478,6611000,Kassel,2023.04,6611000,Großstadt,4.8
13814,7111000,Koblenz,2023.04,7111000,Großstadt,5.0
15079,7312000,Kaiserslautern,2023.04,7312000,Großstadt,4.5
15081,7314000,Ludwigshafen am Rhein,2023.04,7314000,Großstadt,4.0
15082,7315000,Mainz,2023.04,7315000,Landeshauptstadt,4.4
15323,7211000,Trier,2023.04,7211000,Großstadt,5.5
15857,8212000,Karlsruhe,2023.04,8212000,Großstadt,5.7
15913,8221000,Heidelberg,2023.04,8221000,Großstadt,4.9
15914,8222000,Mannheim,2023.04,8222000,Großstadt,4.7
16113,8111000,Stuttgart,2023.04,8111000,Landeshauptstadt,9.1
16292,8121000,Heilbronn,2023.04,8121000,Großstadt,4.2
16396,8231000,Pforzheim,2023.04,8231000,Großstadt,4.5
16466,8311000,Freiburg im Breisgau,2023.04,8311000,Großstadt,4.6
16773,8415061,Reutlingen,2023.04,8415061,Großstadt,4.8
16826,8421000,Ulm,2023.04,8421000,Großstadt,5.1
17014,9161000,Ingolstadt,2023.04,9161000,Großstadt,6.3
17015,9162000,München,2023.04,9162000,Landeshauptstadt,7.8
17773,9362000,Regensburg,2023.04,9362000,Großstadt,5.5
18213,9562000,Erlangen,2023.04,9562000,Großstadt,4.6
18214,9563000,Fürth,2023.04,9563000,Großstadt,3.8
18215,9564000,Nürnberg,2023.04,9564000,Großstadt,4.1
18424,9663000,Würzburg,2023.04,9663000,Großstadt,5.0
18730,9761000,Augsburg,2023.04,9761000,Großstadt,3.9
18927,12054000,Potsdam,2023.04,12054000,Landeshauptstadt,3.8
19337,13003000,Rostock,2023.04,13003000,Großstadt,2.6
19338,13004000,Schwerin,2023.04,13004000,Landeshauptstadt,2.5
19668,10041100,Saarbrücken,2023.04,10041100,Landeshauptstadt,4.2
19720,11000000,Berlin,2023.04,11000000,Landeshauptstadt,4.3
19723,12052000,Cottbus,2023.04,12052000,Großstadt,2.2
20261,14511000,Chemnitz,2023.04,14511000,Großstadt,2.9
20443,14612000,Dresden,2023.04,14612000,Landeshauptstadt,3.0
20697,16051000,Erfurt,2023.04,16051000,Landeshauptstadt,3.2
20699,16053000,Jena,2023.04,16053000,Großstadt,3.3
21013,14713000,Leipzig,2023.04,14713000,Großstadt,3.4
21075,15002000,Halle (Saale),2023.04,15002000,Großstadt,2.4
21076,15003000,Magdeburg,2023.04,15003000,Landeshauptstadt,2.8
21314,1002000,Kiel,2023.07,1002000,Landeshauptstadt,4.1
21315,1003000,Lübeck,2023.07,1003000,Großstadt,3.8
22358,3159016,Göttingen,2023.07,3159016,Großstadt,4.5
22382,3241001,Hannover,2023.07,3241001,Landeshauptstadt,4.9
22465,3254021,Hildesheim,2023.07,3254021,Großstadt,3.9
22617,2000000,Hamburg,2023.07,2000000,Landeshauptstadt,5.9
22618,3101000,Braunschweig,2023.07,3101000,Großstadt,6.9
22619,3102000,Salzgitter,2023.07,3102000,Großstadt,2.4
22620,3103000,Wolfsburg,2023.07,3103000,Großstadt,8.1
23343,4011000,Bremen,2023.07,4011000,Landeshauptstadt,4.1
23344,4012000,Bremerhaven,2023.07,4012000,Großstadt,3.0
23345,5111000,Düsseldorf,2023.07,5111000,Landeshauptstadt,7.2
23346,5112000,Duisburg,2023.07,5112000,Großstadt,2.9
23347,5113000,Essen,2023.07,5113000,Großstadt,4.8
23348,5114000,Krefeld,2023.07,5114000,Großstadt,3.9
23349,5116000,Mönchengladbach,2023.07,5116000,Großstadt,4.0
23350,5117000,Mülheim an der Ruhr,2023.07,5117000,Großstadt,4.3
23351,5119000,Oberhausen,2023.07,5119000,Großstadt,3.4
23352,5120000,Remscheid,2023.07,5120000,Großstadt,4.2
23353,5122000,Solingen,2023.07,5122000,Großstadt,4.9
23354,5124000,Wuppertal,2023.07,5124000,Großstadt,4.2
23387,5162024,Neuss,2023.07,5162024,Großstadt,4.7
23403,5170024,Moers,2023.07,5170024,Großstadt,4.2
23411,5314000,Bonn,2023.07,5314000,Großstadt,5.2
23412,5315000,Köln,2023.07,5315000,Großstadt,5.7
23413,5316000,Leverkusen,2023.07,5316000,Großstadt,4.8
23414,5334002,Aachen,2023.07,5334002,Großstadt,6.1
23498,3403000,Oldenburg (Oldb),2023.07,3403000,Großstadt,5.4
23499,3404000,Osnabrück,2023.07,3404000,Großstadt,5.3
23715,5970040,Siegen,2023.07,5970040,Großstadt,5.0
23741,6411000,Darmstadt,2023.07,6411000,Großstadt,5.9
23742,6412000,Frankfurt am Main,2023.07,6412000,Großstadt,8.7
23743,6413000,Offenbach am Main,2023.07,6413000,Großstadt,4.9
23744,6414000,Wiesbaden,2023.07,6414000,Landeshauptstadt,16.7
23830,6435014,Hanau,2023.07,6435014,Großstadt,3.9
23883,5378004,Bergisch Gladbach,2023.07,5378004,Großstadt,4.6
23910,5512000,Bottrop,2023.07,5512000,Großstadt,3.4
23911,5513000,Gelsenkirchen,2023.07,5513000,Großstadt,3.1
23912,5515000,Münster,2023.07,5515000,Großstadt,5.7
23949,5562032,Recklinghausen,2023.07,5562032,Großstadt,3.0
23988,5711000,Bielefeld,2023.07,5711000,Großstadt,5.2
23990,5754008,Gütersloh,2023.07,5754008,Großstadt,5.0
24055,5774032,Paderborn,2023.07,5774032,Großstadt,5.5
24058,5911000,Bochum,2023.07,5911000,Großstadt,4.7
24059,5913000,Dortmund,2023.07,5913000,Großstadt,4.4
24060,5914000,Hagen,2023.07,5914000,Großstadt,3.5
24061,5915000,Hamm,2023.07,5915000,Großstadt,3.5
24062,5916000,Herne,2023.07,5916000,Großstadt,2.8
24162,7111000,Koblenz,2023.07,7111000,Großstadt,5.3
24426,6611000,Kassel,2023.07,6611000,Großstadt,5.1
25473,7211000,Trier,2023.07,7211000,Großstadt,5.3
26227,7312000,Kaiserslautern,2023.07,7312000,Großstadt,4.8
26229,7314000,Ludwigshafen am Rhein,2023.07,7314000,Großstadt,4.2
26230,7315000,Mainz,2023.07,7315000,Landeshauptstadt,4.6
26661,8111000,Stuttgart,2023.07,8111000,Landeshauptstadt,9.3
26805,8212000,Karlsruhe,2023.07,8212000,Großstadt,5.9
26861,8221000,Heidelberg,2023.07,8221000,Großstadt,5.1
26862,8222000,Mannheim,2023.07,8222000,Großstadt,5.1
26944,8231000,Pforzheim,2023.07,8231000,Großstadt,4.7
27014,8311000,Freiburg im Breisgau,2023.07,8311000,Großstadt,4.8
27240,8121000,Heilbronn,2023.07,8121000,Großstadt,4.4
27521,8415061,Reutlingen,2023.07,8415061,Großstadt,5.0
27574,8421000,Ulm,2023.07,8421000,Großstadt,5.3
27762,9161000,Ingolstadt,2023.07,9161000,Großstadt,6.4
27763,9162000,München,2023.07,9162000,Landeshauptstadt,8.0
28521,9362000,Regensburg,2023.07,9362000,Großstadt,5.6
28761,9562000,Erlangen,2023.07,9562000,Großstadt,4.8
28762,9563000,Fürth,2023.07,9563000,Großstadt,4.0
28763,9564000,Nürnberg,2023.07,9564000,Großstadt,4.4
29172,9663000,Würzburg,2023.07,9663000,Großstadt,5.2
29818,10041100,Saarbrücken,2023.07,10041100,Landeshauptstadt,4.4
29870,11000000,Berlin,2023.07,11000000,Landeshauptstadt,4.5
29873,12052000,Cottbus,2023.07,12052000,Großstadt,2.3
29875,12054000,Potsdam,2023.07,12054000,Landeshauptstadt,4.0
29878,9761000,Augsburg,2023.07,9761000,Großstadt,4.1
30285,13003000,Rostock,2023.07,13003000,Großstadt,2.7
30286,13004000,Schwerin,2023.07,13004000,Landeshauptstadt,2.7
30809,14511000,Chemnitz,2023.07,14511000,Großstadt,3.0
31191,14612000,Dresden,2023.07,14612000,Landeshauptstadt,3.2
31366,14713000,Leipzig,2023.07,14713000,Großstadt,3.6
31428,15002000,Halle (Saale),2023.07,15002000,Großstadt,2.4
31429,15003000,Magdeburg,2023.07,15003000,Landeshauptstadt,3.0
31645,16051000,Erfurt,2023.07,16051000,Landeshauptstadt,3.4
31647,16053000,Jena,2023.07,16053000,Großstadt,3.4
32245,1002000,Kiel,2023.1,1002000,Landeshauptstadt,4.3
32246,1003000,Lübeck,2023.1,1003000,Großstadt,4.0
33348,2000000,Hamburg,2023.1,2000000,Landeshauptstadt,6.4
33349,3101000,Braunschweig,2023.1,3101000,Großstadt,7.5
33350,3102000,Salzgitter,2023.1,3102000,Großstadt,2.6
33351,3103000,Wolfsburg,2023.1,3103000,Großstadt,9.2
33688,3159016,Göttingen,2023.1,3159016,Großstadt,4.9
33712,3241001,Hannover,2023.1,3241001,Landeshauptstadt,5.3
33795,3254021,Hildesheim,2023.1,3254021,Großstadt,4.2
33890,4011000,Bremen,2023.1,4011000,Landeshauptstadt,4.3
33891,4012000,Bremerhaven,2023.1,4012000,Großstadt,3.3
33892,5111000,Düsseldorf,2023.1,5111000,Landeshauptstadt,7.7
33893,5112000,Duisburg,2023.1,5112000,Großstadt,3.1
33894,5113000,Essen,2023.1,5113000,Großstadt,5.1
33895,5114000,Krefeld,2023.1,5114000,Großstadt,4.1
33896,5116000,Mönchengladbach,2023.1,5116000,Großstadt,4.2
33897,5117000,Mülheim an der Ruhr,2023.1,5117000,Großstadt,4.5
33898,5119000,Oberhausen,2023.1,5119000,Großstadt,3.6
33899,5120000,Remscheid,2023.1,5120000,Großstadt,4.5
33900,5122000,Solingen,2023.1,5122000,Großstadt,5.0
33901,5124000,Wuppertal,2023.1,5124000,Großstadt,4.4
33934,5162024,Neuss,2023.1,5162024,Großstadt,5.0
33950,5170024,Moers,2023.1,5170024,Großstadt,4.2
33958,5314000,Bonn,2023.1,5314000,Großstadt,5.7
33959,5315000,Köln,2023.1,5315000,Großstadt,6.1
33960,5316000,Leverkusen,2023.1,5316000,Großstadt,5.2
33961,5334002,Aachen,2023.1,5334002,Großstadt,6.5
34245,3403000,Oldenburg (Oldb),2023.1,3403000,Großstadt,5.8
34246,3404000,Osnabrück,2023.1,3404000,Großstadt,5.6
34430,5378004,Bergisch Gladbach,2023.1,5378004,Großstadt,4.9
34457,5512000,Bottrop,2023.1,5512000,Großstadt,3.6
34458,5513000,Gelsenkirchen,2023.1,5513000,Großstadt,3.3
34459,5515000,Münster,2023.1,5515000,Großstadt,6.1
34496,5562032,Recklinghausen,2023.1,5562032,Großstadt,3.3
34535,5711000,Bielefeld,2023.1,5711000,Großstadt,5.7
34537,5754008,Gütersloh,2023.1,5754008,Großstadt,5.3
34602,5774032,Paderborn,2023.1,5774032,Großstadt,5.8
34605,5911000,Bochum,2023.1,5911000,Großstadt,5.0
34606,5913000,Dortmund,2023.1,5913000,Großstadt,4.7
34607,5914000,Hagen,2023.1,5914000,Großstadt,3.6
34608,5915000,Hamm,2023.1,5915000,Großstadt,3.7
34609,5916000,Herne,2023.1,5916000,Großstadt,3.0
34773,6611000,Kassel,2023.1,6611000,Großstadt,5.5
34909,7111000,Koblenz,2023.1,7111000,Großstadt,5.7
36020,7211000,Trier,2023.1,7211000,Großstadt,5.5
36774,7312000,Kaiserslautern,2023.1,7312000,Großstadt,5.2
36776,7314000,Ludwigshafen am Rhein,2023.1,7314000,Großstadt,4.5
36777,7315000,Mainz,2023.1,7315000,Landeshauptstadt,4.9
37208,8111000,Stuttgart,2023.1,8111000,Landeshauptstadt,9.8
37387,8121000,Heilbronn,2023.1,8121000,Großstadt,4.7
37460,5970040,Siegen,2023.1,5970040,Großstadt,5.1
37486,6411000,Darmstadt,2023.1,6411000,Großstadt,6.3
37487,6412000,Frankfurt am Main,2023.1,6412000,Großstadt,8.7
37488,6413000,Offenbach am Main,2023.1,6413000,Großstadt,5.1
37489,6414000,Wiesbaden,2023.1,6414000,Landeshauptstadt,19.4
37575,6435014,Hanau,2023.1,6435014,Großstadt,4.2
37691,8231000,Pforzheim,2023.1,8231000,Großstadt,5.0
37761,8311000,Freiburg im Breisgau,2023.1,8311000,Großstadt,5.1
38068,8415061,Reutlingen,2023.1,8415061,Großstadt,5.3
38121,8421000,Ulm,2023.1,8421000,Großstadt,5.6
38352,8212000,Karlsruhe,2023.1,8212000,Großstadt,6.3
38408,8221000,Heidelberg,2023.1,8221000,Großstadt,5.5
38409,8222000,Mannheim,2023.1,8222000,Großstadt,5.5
38509,9161000,Ingolstadt,2023.1,9161000,Großstadt,7.4
38510,9162000,München,2023.1,9162000,Landeshauptstadt,8.8
39508,9562000,Erlangen,2023.1,9562000,Großstadt,5.1
39509,9563000,Fürth,2023.1,9563000,Großstadt,4.2
39510,9564000,Nürnberg,2023.1,9564000,Großstadt,4.8
39719,9663000,Würzburg,2023.1,9663000,Großstadt,5.6
40025,9761000,Augsburg,2023.1,9761000,Großstadt,4.4
40068,9362000,Regensburg,2023.1,9362000,Großstadt,6.0
40565,10041100,Saarbrücken,2023.1,10041100,Landeshauptstadt,4.7
40617,11000000,Berlin,2023.1,11000000,Landeshauptstadt,4.8
40621,12054000,Potsdam,2023.1,12054000,Landeshauptstadt,4.2
41431,13003000,Rostock,2023.1,13003000,Großstadt,3.0
41432,13004000,Schwerin,2023.1,13004000,Landeshauptstadt,2.9
41755,14511000,Chemnitz,2023.1,14511000,Großstadt,3.3
41912,14713000,Leipzig,2023.1,14713000,Großstadt,3.8
41974,15002000,Halle (Saale),2023.1,15002000,Großstadt,2.7
41975,15003000,Magdeburg,2023.1,15003000,Landeshauptstadt,3.1
42137,14612000,Dresden,2023.1,14612000,Landeshauptstadt,3.5
42954,16051000,Erfurt,2023.1,16051000,Landeshauptstadt,3.7
42956,16053000,Jena,2023.1,16053000,Großstadt,3.6
42991,1002000,Kiel,2024.01,1002000,Landeshauptstadt,4.5
42992,1003000,Lübeck,2024.01,1003000,Großstadt,4.2
43894,2000000,Hamburg,2024.01,2000000,Landeshauptstadt,6.8
43895,3101000,Braunschweig,2024.01,3101000,Großstadt,7.8
43896,3102000,Salzgitter,2024.01,3102000,Großstadt,2.7
43897,3103000,Wolfsburg,2024.01,3103000,Großstadt,12.1
44591,3403000,Oldenburg (Oldb),2024.01,3403000,Großstadt,6.2
44592,3404000,Osnabrück,2024.01,3404000,Großstadt,5.9
44636,4011000,Bremen,2024.01,4011000,Landeshauptstadt,4.5
44637,4012000,Bremerhaven,2024.01,4012000,Großstadt,3.5
44638,5111000,Düsseldorf,2024.01,5111000,Landeshauptstadt,8.0
44639,5112000,Duisburg,2024.01,5112000,Großstadt,3.2
44640,5113000,Essen,2024.01,5113000,Großstadt,5.3
44641,5114000,Krefeld,2024.01,5114000,Großstadt,4.2
44642,5116000,Mönchengladbach,2024.01,5116000,Großstadt,4.4
44643,5117000,Mülheim an der Ruhr,2024.01,5117000,Großstadt,4.7
44644,5119000,Oberhausen,2024.01,5119000,Großstadt,3.7
44645,5120000,Remscheid,2024.01,5120000,Großstadt,4.7
44646,5122000,Solingen,2024.01,5122000,Großstadt,5.1
44647,5124000,Wuppertal,2024.01,5124000,Großstadt,4.6
44680,5162024,Neuss,2024.01,5162024,Großstadt,5.3
44696,5170024,Moers,2024.01,5170024,Großstadt,4.2
44704,5314000,Bonn,2024.01,5314000,Großstadt,6.0
44705,5315000,Köln,2024.01,5315000,Großstadt,6.4
44706,5316000,Leverkusen,2024.01,5316000,Großstadt,5.5
44707,5334002,Aachen,2024.01,5334002,Großstadt,7.0
44776,5378004,Bergisch Gladbach,2024.01,5378004,Großstadt,5.2
44803,5512000,Bottrop,2024.01,5512000,Großstadt,3.9
44804,5513000,Gelsenkirchen,2024.01,5513000,Großstadt,3.5
44834,3159016,Göttingen,2024.01,3159016,Großstadt,5.2
44858,3241001,Hannover,2024.01,3241001,Landeshauptstadt,5.6
44941,3254021,Hildesheim,2024.01,3254021,Großstadt,4.4
45005,5515000,Münster,2024.01,5515000,Großstadt,6.4
45042,5562032,Recklinghausen,2024.01,5562032,Großstadt,3.4
45081,5711000,Bielefeld,2024.01,5711000,Großstadt,5.9
45083,5754008,Gütersloh,2024.01,5754008,Großstadt,5.5
45148,5774032,Paderborn,2024.01,5774032,Großstadt,6.1
45151,5911000,Bochum,2024.01,5911000,Großstadt,5.2
45152,5913000,Dortmund,2024.01,5913000,Großstadt,4.9
45153,5914000,Hagen,2024.01,5914000,Großstadt,3.7
45154,5915000,Hamm,2024.01,5915000,Großstadt,3.9
45155,5916000,Herne,2024.01,5916000,Großstadt,3.1
45208,5970040,Siegen,2024.01,5970040,Großstadt,5.3
45234,6411000,Darmstadt,2024.01,6411000,Großstadt,6.6
45235,6412000,Frankfurt am Main,2024.01,6412000,Großstadt,8.7
45236,6413000,Offenbach am Main,2024.01,6413000,Großstadt,5.1
45237,6414000,Wiesbaden,2024.01,6414000,Landeshauptstadt,18.6
45323,6435014,Hanau,2024.01,6435014,Großstadt,4.4
45655,7111000,Koblenz,2024.01,7111000,Großstadt,6.1
45919,6611000,Kassel,2024.01,6611000,Großstadt,5.8
47120,7312000,Kaiserslautern,2024.01,7312000,Großstadt,5.3
47122,7314000,Ludwigshafen am Rhein,2024.01,7314000,Großstadt,4.6
47123,7315000,Mainz,2024.01,7315000,Landeshauptstadt,5.2
47366,7211000,Trier,2024.01,7211000,Großstadt,5.6
48154,8111000,Stuttgart,2024.01,8111000,Landeshauptstadt,10.2
